Feature,Normal Equation,Batch GD,SGD
theta0 intercept,6883.416639809077,6883.416639809023,6887.67445178007
theta1 irradiation,8258.296494245255,5870.922352604295,7652.297928220948
theta2 module temperature,-25.544992276580615,3115.734645940324,819.6967968462063
theta3 ambient temperature,-15.929397001742586,-944.5626857878563,-224.30547737135936
theta4 sin hour,-29.832570199988822,-32.67211093688401,-45.78370202898185
theta5 cos hour,-408.7725369345651,-396.5896135263637,-408.0960334332796
