Solver,Features,All hours RMSE (kW),Daytime RMSE (kW)
Normal equation,Set A,553.3193624127996,723.4147415119289
"Batch GD (alpha=0.0001, iters=500)",Set A,726.4922306549507,943.9247667657843
"Stochastic GD (alpha=0.01, epochs=50)",Set A,562.9141169007255,736.7291455245759
Normal equation,Set B,2626.129230218623,3417.6467680497735
"Batch GD (alpha=0.0001, iters=500)",Set B,2620.0869862353425,3410.5037674166165
"Stochastic GD (alpha=0.001, epochs=50)",Set B,2577.8703236232313,3347.9845661464087
